,stock_code,release_date,report_year
432,08282.HK,2018-04-23,2017
433,01577.HK,2018-04-23,2017
434,02225.HK,2018-04-23,2017
435,06060.HK,2018-04-23,2017
436,01707.HK,2018-04-23,2017
437,00670.HK,2018-04-23,2017
438,06189.HK,2018-04-23,2017
439,01831.HK,2018-04-23,2017
440,01498.HK,2018-04-23,2017
441,00145.HK,2018-04-23,2017
442,00695.HK,2018-04-23,2017
443,00753.HK,2018-04-23,2017
444,00003.HK,2018-04-23,2017
445,00295.HK,2018-04-23,2017
446,01022.HK,2018-04-23,2017
447,01080.HK,2018-04-23,2017
448,00354.HK,2018-04-23,2017
449,00031.HK,2018-04-23,2017
450,01091.HK,2018-04-23,2017
451,00380.HK,2018-04-23,2017
452,00983.HK,2018-04-23,2017
453,01683.HK,2018-04-23,2017
454,00458.HK,2018-04-23,2017
455,03300.HK,2018-04-23,2017
456,02188.HK,2018-04-23,2017
457,06828.HK,2018-04-23,2017
458,00668.HK,2018-04-23,2017
459,02623.HK,2018-04-23,2017
460,00528.HK,2018-04-23,2017
461,00693.HK,2018-04-23,2017
462,06833.HK,2018-04-23,2017
463,02001.HK,2018-04-23,2017
464,01979.HK,2018-04-23,2017
465,00510.HK,2018-04-24,2017
466,06136.HK,2018-04-24,2017
467,01882.HK,2018-04-24,2017
468,00517.HK,2018-04-24,2017
469,00512.HK,2018-04-24,2017
470,01118.HK,2018-04-24,2017
471,02313.HK,2018-04-24,2017
472,00274.HK,2018-04-24,2017
473,03709.HK,2018-04-24,2017
474,02789.HK,2018-04-24,2017
475,00889.HK,2018-04-24,2017
476,01610.HK,2018-04-24,2017
477,00187.HK,2018-04-24,2017
478,01247.HK,2018-04-24,2017
479,00069.HK,2018-04-24,2017
480,00583.HK,2018-04-24,2017
481,03326.HK,2018-04-24,2017
482,01478.HK,2018-04-24,2017
483,02588.HK,2018-04-24,2017
484,03633.HK,2018-04-24,2017
485,00011.HK,2018-04-24,2017
486,03393.HK,2018-04-24,2017
487,01332.HK,2018-04-24,2017
488,02342.HK,2018-04-24,2017
489,01148.HK,2018-04-24,2017
490,00108.HK,2018-04-24,2017
491,00630.HK,2018-04-24,2017
492,00831.HK,2018-04-24,2017
493,06113.HK,2018-04-24,2017
494,03323.HK,2018-04-25,2017
495,01980.HK,2018-04-25,2017
496,00184.HK,2018-04-25,2017
497,00102.HK,2018-04-25,2017
498,01669.HK,2018-04-25,2017
499,00764.HK,2018-04-25,2017
500,00139.HK,2018-04-25,2017
501,02330.HK,2018-04-25,2017
502,00110.HK,2018-04-25,2017
503,00116.HK,2018-04-25,2017
504,03698.HK,2018-04-25,2017
505,01108.HK,2018-04-25,2017
506,01278.HK,2018-04-25,2017
507,01798.HK,2018-04-25,2017
508,00308.HK,2018-04-25,2017
509,03339.HK,2018-04-25,2017
510,00038.HK,2018-04-25,2017
511,00585.HK,2018-04-25,2017
512,01822.HK,2018-04-25,2017
513,01186.HK,2018-04-25,2017
514,01117.HK,2018-04-25,2017
515,02877.HK,2018-04-25,2017
516,01450.HK,2018-04-25,2017
517,00260.HK,2018-04-25,2017
518,01157.HK,2018-04-25,2017
519,01099.HK,2018-04-25,2017
520,00209.HK,2018-04-25,2017
521,00012.HK,2018-04-25,2017
522,00833.HK,2018-04-25,2017
523,03382.HK,2018-04-25,2017
524,01583.HK,2018-04-25,2017
525,00180.HK,2018-04-25,2017
526,00995.HK,2018-04-25,2017
527,00506.HK,2018-04-25,2017
528,00410.HK,2018-04-25,2017
529,00733.HK,2018-04-25,2017
530,00636.HK,2018-04-25,2017
531,01696.HK,2018-04-25,2017
532,00428.HK,2018-04-25,2017
533,01695.HK,2018-04-25,2017
534,01666.HK,2018-04-25,2017
535,01370.HK,2018-04-25,2017
536,01661.HK,2018-04-25,2017
537,00264.HK,2018-04-26,2018
538,00600.HK,2018-04-26,2017
539,01856.HK,2018-04-26,2017
540,01522.HK,2018-04-26,2017
541,03983.HK,2018-04-26,2017
542,01789.HK,2018-04-26,2017
543,00564.HK,2018-04-26,2017
544,01515.HK,2018-04-26,2017
545,05310.HK,2018-04-26,2017
