,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
2502,02455.HK,,,,,,27/04/2023,
2503,02405.HK,,,,,,27/04/2023,
2504,01878.HK,,,,,,27/04/2023,
2505,02147.HK,,,,,,27/04/2023,
2506,01290.HK,,,,,,26/04/2023,
2507,02245.HK,,,,,,26/04/2023,
2508,02391.HK,,,,,,26/04/2023,
2509,09658.HK,,,,,,26/04/2023,
2510,02367.HK,,,,,,26/04/2023,
2511,02458.HK,,,,,,26/04/2023,
2512,00020.HK,,,,,,26/04/2023,
2513,02145.HK,,,,,,26/04/2023,
2514,02418.HK,,,,,,26/04/2023,
2515,02172.HK,,,,,,26/04/2023,
2516,00314.HK,,,,,,26/04/2023,
2517,02297.HK,,,,,,26/04/2023,
2518,09636.HK,,,,,,26/04/2023,
2519,02315.HK,,,,,,26/04/2023,
2520,00629.HK,,,,,,26/04/2023,
2521,02425.HK,,,,,,26/04/2023,
2522,06955.HK,,,,,,25/04/2023,
2523,09960.HK,,,,,,25/04/2023,
2524,02459.HK,,,,,,25/04/2023,
2525,09877.HK,,,,,,25/04/2023,
2526,02152.HK,,,,,,25/04/2023,
2527,06922.HK,,,,,,25/04/2023,
2528,06963.HK,,,,,,25/04/2023,
2529,09991.HK,,,,,,25/04/2023,
2530,04827.HK,,,,,,25/04/2023,
2531,07827.HK,,,,,,25/04/2023,
2532,02469.HK,,,,,,25/04/2023,
2533,02602.HK,,,,,,25/04/2023,
2534,00189.HK,,,,,,25/04/2023,
2535,02385.HK,,,,,,25/04/2023,
2536,02422.HK,,,,,,25/04/2023,
2537,00777.HK,,,,,,25/04/2023,
2538,01407.HK,,,,,,25/04/2023,
2539,02291.HK,,,,,,25/04/2023,
2540,02325.HK,,,,,,24/04/2023,
2541,01947.HK,,,,,,24/04/2023,
2542,02440.HK,,,,,,24/04/2023,
2543,02246.HK,,,,,,24/04/2023,
2544,05754.HK,,,,,,24/04/2023,
2545,06686.HK,,,,,,24/04/2023,
2546,02373.HK,,,,,,24/04/2023,
2547,02420.HK,,,,,,24/04/2023,
2548,01204.HK,,,,,,24/04/2023,
2549,06026.HK,,,,,,24/04/2023,
2550,06028.HK,,,,,,24/04/2023,
2551,40258.HK,,,,,,24/04/2023,
2552,40634.HK,,,,,,24/04/2023,
2553,06638.HK,,,,,,24/04/2023,
2554,02306.HK,,,,,,24/04/2023,
2555,02361.HK,,,,,,21/04/2023,
2556,06660.HK,,,,,,21/04/2023,
2557,05676.HK,,,,,,21/04/2023,
2558,04841.HK,,,,,,20/04/2023,
2559,07841.HK,,,,,,20/04/2023,
2560,01880.HK,,,,,,19/04/2023,
2561,06929.HK,,,,,,18/04/2023,
2562,09863.HK,,,,,,17/04/2023,
2563,04401.HK,,,,,,14/04/2023,
2564,08158.HK,,,,,,11/04/2023,
2565,02237.HK,,,,,,03/04/2023,
2566,09987.HK,,,,,,02/04/2023,
2567,08436.HK,,,,,,31/03/2023,
2568,05141.HK,,,,,,30/03/2023,
2569,05142.HK,,,,,,30/03/2023,
2570,05413.HK,,,,,,30/03/2023,
