,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
1133,00613.HK,17/04/2018,26/04/2019,28/04/2020,23/04/2021,27/04/2022,27/04/2023,
1134,01447.HK,13/04/2018,15/04/2019,15/04/2020,14/04/2021,13/04/2022,14/04/2023,
1135,00366.HK,17/04/2018,10/04/2019,14/04/2020,20/04/2021,13/04/2022,13/04/2023,
1136,00720.HK,17/04/2018,16/04/2019,16/04/2020,15/04/2021,21/04/2022,21/04/2023,
1137,00830.HK,11/04/2018,15/04/2019,16/04/2020,22/04/2021,27/04/2022,26/04/2023,
1138,00635.HK,21/03/2018,26/03/2019,25/03/2020,24/03/2021,23/03/2022,26/04/2023,
1139,00697.HK,13/04/2018,17/04/2019,16/04/2020,23/04/2021,22/04/2022,21/04/2023,
1140,03368.HK,17/04/2018,10/04/2019,09/04/2020,15/04/2021,13/04/2022,13/04/2023,
1141,00993.HK,10/04/2018,29/04/2019,28/04/2020,14/09/2021,27/04/2022,27/04/2023,
1142,02339.HK,09/04/2018,16/04/2019,21/04/2020,21/04/2021,21/04/2022,27/04/2023,
1143,00639.HK,09/04/2018,09/04/2019,15/04/2020,15/04/2021,29/04/2022,27/04/2023,
1144,02038.HK,09/04/2018,09/04/2019,16/04/2020,20/04/2021,13/04/2022,13/04/2023,
1145,00730.HK,13/07/2018,11/04/2019,16/04/2020,12/04/2021,12/04/2022,18/04/2023,
1146,03315.HK,12/04/2018,15/04/2019,08/04/2020,13/04/2021,13/04/2022,13/04/2023,
1147,00869.HK,21/03/2018,26/03/2019,25/03/2020,24/03/2021,23/03/2022,26/04/2023,
1148,00941.HK,13/04/2018,12/04/2019,14/04/2020,16/04/2021,13/04/2022,13/04/2023,
1149,00436.HK,17/04/2018,15/04/2019,29/05/2020,08/06/2021,04/05/2022,21/04/2023,
1150,02357.HK,10/04/2018,09/04/2019,20/04/2020,27/04/2021,25/04/2022,26/04/2023,
1151,01385.HK,16/04/2018,17/04/2019,16/04/2020,22/04/2021,30/05/2022,25/04/2023,
1152,00906.HK,19/04/2018,26/04/2019,14/05/2020,16/04/2021,20/04/2022,17/04/2023,
1153,02005.HK,12/04/2018,28/03/2019,20/04/2020,19/04/2021,19/04/2022,18/04/2023,
1154,02883.HK,17/04/2018,11/04/2019,08/04/2020,14/04/2021,11/04/2022,12/04/2023,
1155,02023.HK,19/04/2018,25/04/2019,14/05/2020,23/04/2021,28/04/2022,27/04/2023,
1156,00822.HK,19/04/2018,18/04/2019,29/04/2020,21/04/2021,26/04/2022,26/04/2023,
1157,01882.HK,24/04/2018,23/04/2019,15/04/2020,15/04/2021,13/05/2022,24/04/2023,
1158,00146.HK,17/04/2018,10/04/2019,15/10/2020,06/10/2021,10/10/2022,19/10/2023,
1159,01786.HK,29/03/2018,29/03/2019,21/04/2020,16/04/2021,26/04/2022,24/04/2023,
1160,00771.HK,12/04/2018,16/04/2019,20/04/2020,23/04/2021,26/04/2022,25/04/2023,
1161,03393.HK,24/04/2018,17/04/2019,13/05/2020,28/04/2021,28/04/2022,20/04/2023,
1162,00700.HK,10/04/2018,01/04/2019,02/04/2020,08/04/2021,07/04/2022,06/04/2023,
1163,05542.HK,10/04/2018,01/04/2019,02/04/2020,08/04/2021,07/04/2022,06/04/2023,
1164,05873.HK,10/04/2018,01/04/2019,02/04/2020,08/04/2021,07/04/2022,06/04/2023,
1165,00878.HK,19/04/2018,17/04/2019,24/04/2020,22/04/2021,22/04/2022,20/04/2023,
1166,00610.HK,27/03/2018,11/04/2019,16/04/2020,22/04/2021,21/04/2022,17/04/2023,
1167,00852.HK,,18/04/2019,24/04/2020,26/04/2021,25/04/2022,24/04/2023,
1168,00240.HK,27/03/2018,11/04/2019,16/04/2020,21/04/2021,21/04/2022,17/04/2023,
1169,00888.HK,27/04/2018,29/04/2019,28/04/2020,28/04/2021,15/05/2022,26/04/2023,
1170,01583.HK,25/04/2018,25/04/2019,28/04/2020,31/03/2021,31/03/2022,30/03/2023,
1171,00081.HK,29/06/2018,12/07/2019,20/07/2020,12/07/2021,27/05/2022,25/04/2023,
1172,00543.HK,16/04/2018,10/04/2019,14/04/2020,15/04/2021,28/04/2022,14/04/2023,
1173,01972.HK,04/04/2018,08/04/2019,20/05/2020,09/04/2021,01/04/2022,03/04/2023,
1174,00934.HK,27/04/2018,03/04/2019,08/04/2020,31/03/2021,04/04/2022,14/04/2023,
1175,00632.HK,06/04/2018,29/04/2019,20/04/2020,15/04/2021,19/04/2022,24/04/2023,
1176,06836.HK,17/04/2018,30/04/2019,08/06/2020,20/05/2021,28/10/2022,25/04/2023,
1177,01044.HK,,10/06/2019,13/05/2020,29/04/2021,29/04/2022,17/04/2023,
1178,01300.HK,11/04/2018,12/04/2019,09/04/2020,28/04/2021,20/04/2022,20/04/2023,
1179,00232.HK,06/04/2018,12/04/2019,15/04/2020,21/04/2021,25/04/2022,26/04/2023,
1180,01816.HK,28/03/2018,08/04/2019,25/03/2020,18/03/2021,17/03/2022,15/03/2023,
1181,01062.HK,,02/05/2019,23/04/2020,29/04/2021,28/04/2022,27/04/2023,
1182,03903.HK,09/04/2018,12/04/2019,,,,,
1183,02688.HK,31/05/2018,28/06/2019,29/05/2020,07/05/2021,06/04/2022,19/04/2023,
1184,00929.HK,11/04/2018,10/04/2019,15/04/2020,22/04/2021,23/03/2022,21/04/2023,
1185,02331.HK,11/04/2018,10/04/2019,20/04/2020,12/04/2021,11/04/2022,17/04/2023,
1186,01456.HK,03/04/2018,15/04/2019,17/03/2020,01/04/2021,11/04/2022,12/04/2023,
1187,00831.HK,24/04/2018,24/04/2019,29/04/2020,24/05/2021,29/04/2022,17/04/2023,
1188,00218.HK,10/04/2018,04/04/2019,20/04/2020,20/04/2021,28/04/2022,25/04/2023,
1189,02283.HK,11/04/2018,08/04/2019,28/04/2020,28/04/2021,27/04/2022,27/04/2023,
1190,00536.HK,10/04/2018,08/04/2019,03/04/2020,08/04/2021,31/03/2022,11/04/2023,
1191,06116.HK,16/04/2018,17/04/2019,30/06/2020,30/04/2021,27/04/2022,27/04/2023,
1192,00728.HK,12/04/2018,10/04/2019,09/04/2020,08/04/2021,14/04/2022,21/04/2023,
1193,01549.HK,10/04/2018,10/04/2019,08/04/2020,22/04/2021,25/04/2022,21/04/2023,
1194,01098.HK,28/03/2018,03/04/2019,15/04/2020,13/04/2021,11/04/2022,18/04/2023,
1195,00351.HK,09/04/2018,11/04/2019,06/03/2020,26/04/2021,26/04/2022,24/04/2023,
1196,00827.HK,09/04/2018,09/04/2019,09/04/2020,12/04/2021,13/04/2022,21/04/2023,
1197,00001.HK,06/04/2018,09/04/2019,06/07/2020,29/06/2021,31/05/2022,28/04/2023,
1198,01113.HK,06/04/2018,09/04/2019,07/04/2020,30/04/2021,29/04/2022,17/04/2023,
1199,00598.HK,05/06/2018,25/03/2019,31/03/2020,30/03/2021,29/03/2022,27/03/2023,
1200,03838.HK,19/04/2018,11/04/2019,08/04/2020,14/04/2021,14/04/2022,13/04/2023,
1201,00936.HK,28/03/2018,16/04/2019,20/04/2020,20/04/2021,14/04/2022,24/04/2023,
1202,00220.HK,16/04/2018,28/05/2019,28/04/2020,07/05/2021,25/04/2022,24/04/2023,
1203,00531.HK,03/04/2018,08/04/2019,08/04/2020,15/04/2021,12/04/2022,14/04/2023,
1204,01361.HK,27/04/2018,06/05/2019,19/05/2020,17/05/2021,12/04/2022,04/04/2023,
1205,00926.HK,19/04/2018,17/04/2019,20/04/2020,15/04/2021,12/04/2022,26/04/2023,
1206,01253.HK,16/04/2018,15/04/2019,20/04/2020,,28/04/2022,,
1207,08186.HK,22/03/2018,29/03/2019,30/03/2020,11/03/2022,15/05/2022,31/03/2023,
1208,08187.HK,13/04/2018,28/06/2019,30/06/2020,31/05/2021,31/05/2022,30/03/2023,
1209,08007.HK,28/03/2018,28/06/2019,31/03/2020,31/03/2021,28/02/2022,14/02/2023,
1210,08226.HK,31/05/2018,22/05/2019,12/05/2020,07/05/2021,20/05/2022,24/03/2023,
1211,08049.HK,,,,31/03/2021,31/05/2022,02/04/2023,
1212,02638.HK,06/04/2018,04/04/2019,02/04/2020,01/04/2021,06/04/2022,06/04/2023,
1213,00006.HK,06/04/2018,04/04/2019,02/04/2020,01/04/2021,06/04/2022,06/04/2023,
1214,01171.HK,25/03/2018,29/03/2019,22/04/2020,28/03/2021,30/03/2022,24/03/2023,
1215,08227.HK,28/03/2018,28/03/2019,23/04/2020,30/03/2021,30/03/2022,31/03/2023,
1216,08247.HK,28/03/2018,,31/03/2021,31/03/2021,27/05/2022,31/03/2023,
1217,00045.HK,29/03/2018,12/04/2019,02/04/2020,31/03/2021,31/03/2022,31/03/2023,
1218,03988.HK,29/03/2018,29/03/2019,27/03/2020,30/03/2021,29/03/2022,30/03/2023,
1219,03818.HK,09/04/2018,04/07/2019,02/07/2020,02/07/2021,11/07/2022,11/07/2023,
1220,02383.HK,04/04/2018,04/04/2019,03/04/2020,31/03/2021,24/03/2022,30/03/2023,
1221,00576.HK,29/03/2018,04/04/2019,24/04/2020,22/04/2021,31/03/2022,31/03/2023,
1222,03318.HK,10/04/2018,08/04/2019,09/04/2020,20/04/2021,19/04/2022,11/04/2023,
1223,08370.HK,29/03/2018,28/03/2019,26/03/2020,27/04/2021,27/09/2022,28/09/2023,
1224,08167.HK,29/03/2018,27/03/2019,14/05/2020,30/03/2021,03/05/2022,30/03/2023,
1225,01988.HK,29/03/2018,29/03/2019,30/03/2020,30/03/2021,29/03/2022,27/03/2023,
1226,03993.HK,,,,,,,
1227,03958.HK,29/03/2018,28/03/2019,27/03/2020,30/03/2021,30/03/2022,30/03/2023,
1228,01398.HK,27/03/2018,28/03/2019,27/03/2020,26/03/2021,30/03/2022,30/03/2023,
1229,06818.HK,28/03/2018,28/03/2019,27/03/2020,26/03/2021,25/03/2022,24/03/2023,
1230,08081.HK,28/03/2018,28/03/2019,28/04/2020,30/03/2021,26/04/2022,31/03/2023,
1231,08051.HK,13/03/2018,28/03/2019,27/03/2020,30/03/2021,30/03/2022,30/03/2023,
1232,01055.HK,26/03/2018,29/03/2019,30/03/2020,30/03/2021,30/03/2022,28/03/2023,
1233,08019.HK,28/03/2018,28/03/2019,30/03/2020,31/03/2021,31/03/2022,31/03/2023,
1234,01255.HK,18/04/2018,25/04/2019,28/04/2020,29/04/2021,28/04/2022,26/04/2023,
1235,08215.HK,27/03/2018,25/03/2019,26/03/2020,23/03/2021,23/03/2022,23/03/2023,
1236,08311.HK,,28/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1237,08112.HK,28/03/2018,29/03/2019,30/03/2020,30/03/2021,29/03/2022,30/03/2023,
1238,08363.HK,29/03/2018,29/03/2019,17/05/2020,14/05/2021,02/05/2022,01/05/2023,
1239,08238.HK,28/03/2018,29/05/2019,30/06/2020,29/10/2021,31/05/2022,28/04/2023,
1240,00215.HK,27/03/2018,27/03/2019,01/04/2020,30/03/2021,01/04/2022,30/03/2023,
1241,08123.HK,29/03/2018,29/03/2019,31/03/2020,31/03/2021,30/03/2022,31/03/2023,
1242,08115.HK,28/03/2018,27/03/2019,01/04/2020,01/04/2021,28/04/2022,29/03/2023,
1243,00118.HK,09/04/2018,16/04/2019,27/04/2020,28/04/2021,27/04/2022,26/04/2023,
1244,08196.HK,28/03/2018,29/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1245,08006.HK,26/06/2018,27/06/2019,03/07/2020,31/03/2021,31/03/2022,31/03/2023,
1246,08162.HK,28/03/2018,29/03/2019,08/05/2020,30/03/2021,30/03/2022,30/03/2023,
1247,01368.HK,14/06/2018,11/06/2019,22/05/2020,14/05/2021,16/05/2022,14/04/2023,
1248,08279.HK,28/03/2018,28/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1249,08133.HK,29/03/2018,29/03/2019,30/03/2020,31/03/2021,01/04/2022,28/03/2023,
1250,00857.HK,22/03/2018,16/04/2019,26/03/2020,25/03/2021,31/03/2022,30/03/2023,
1251,08095.HK,27/03/2018,27/03/2019,31/03/2020,14/04/2021,13/04/2022,31/03/2023,
1252,08308.HK,27/03/2018,28/03/2019,30/03/2020,30/03/2021,30/03/2022,,
1253,06178.HK,26/03/2018,27/03/2019,27/03/2020,25/03/2021,24/03/2022,30/03/2023,
1254,06837.HK,27/03/2018,27/03/2019,27/03/2020,30/03/2021,29/03/2022,30/03/2023,
1255,00939.HK,27/03/2018,27/03/2019,29/03/2020,26/03/2021,29/03/2022,29/03/2023,
1256,02208.HK,23/03/2018,29/03/2019,31/03/2020,26/03/2021,25/03/2022,30/03/2023,
1257,08030.HK,02/04/2018,26/03/2019,17/05/2020,08/04/2021,30/06/2022,16/04/2023,
1258,08137.HK,28/03/2018,28/03/2019,,,,,
1259,02136.HK,28/03/2018,25/03/2019,27/03/2020,08/04/2021,28/04/2022,24/04/2023,
1260,00525.HK,28/03/2018,27/03/2019,30/03/2020,29/03/2021,30/03/2022,29/03/2023,
1261,01233.HK,16/04/2018,29/03/2019,07/04/2020,14/04/2021,25/04/2022,25/04/2023,
1262,00194.HK,29/03/2018,09/04/2019,09/04/2020,09/04/2021,06/04/2022,14/04/2023,
1263,08267.HK,28/03/2018,29/03/2019,27/03/2020,31/03/2021,31/03/2022,31/03/2023,
1264,08147.HK,29/03/2018,28/03/2019,14/05/2020,31/03/2021,06/05/2022,31/03/2023,
1265,08271.HK,28/03/2018,28/03/2019,31/03/2020,31/03/2021,30/03/2022,30/03/2023,
1266,08198.HK,28/03/2018,28/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1267,01349.HK,18/04/2018,03/04/2019,04/03/2020,16/04/2021,19/04/2022,25/04/2023,
1268,01071.HK,26/03/2018,,25/03/2020,30/03/2021,25/03/2022,19/04/2023,
1269,00851.HK,12/04/2018,26/04/2019,27/04/2020,29/04/2021,12/05/2022,28/04/2023,
1270,08348.HK,23/03/2018,29/03/2019,29/03/2020,21/03/2021,22/03/2022,23/03/2023,
1271,01211.HK,27/03/2018,27/03/2019,21/04/2020,29/03/2021,29/03/2022,28/03/2023,
1272,01288.HK,26/03/2018,29/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1273,01618.HK,29/03/2018,29/03/2019,31/03/2020,29/03/2021,29/03/2022,29/03/2023,
1274,08239.HK,28/03/2018,29/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1275,00014.HK,28/03/2018,28/03/2019,30/03/2020,30/03/2021,30/03/2022,30/03/2023,
1276,01033.HK,27/03/2018,25/03/2019,24/03/2020,24/03/2021,29/03/2022,28/03/2023,
1277,08037.HK,28/03/2018,28/03/2019,30/03/2020,29/03/2021,31/03/2022,29/03/2023,
1278,00217.HK,21/03/2018,15/03/2019,16/03/2020,14/04/2021,21/04/2022,24/04/2023,
1279,08340.HK,28/03/2018,28/03/2019,25/03/2020,31/03/2021,31/03/2022,31/03/2023,
1280,00036.HK,04/04/2018,11/04/2019,17/04/2020,30/04/2021,29/04/2022,20/04/2023,
1281,01302.HK,25/06/2018,10/06/2019,19/06/2020,31/05/2021,31/05/2022,18/04/2023,
1282,00819.HK,21/06/2018,25/03/2019,30/03/2020,28/03/2021,31/03/2022,26/03/2023,
1283,00386.HK,25/03/2018,24/03/2019,29/03/2020,28/03/2021,27/03/2022,26/03/2023,
1284,03968.HK,23/03/2018,22/03/2019,20/03/2020,19/03/2021,18/03/2022,24/03/2023,
1285,01776.HK,23/03/2018,27/03/2019,27/03/2020,29/03/2021,30/03/2022,30/03/2023,
1286,02333.HK,23/03/2018,22/03/2019,24/04/2020,30/03/2021,29/03/2022,30/03/2023,
1287,01091.HK,23/04/2018,12/04/2019,23/04/2020,22/04/2021,26/04/2022,11/12/2023,
1288,08148.HK,29/03/2018,21/06/2019,23/06/2020,27/05/2021,27/05/2022,02/04/2023,
1289,02628.HK,22/03/2018,27/03/2019,25/03/2020,25/03/2021,24/03/2022,29/03/2023,
1290,01523.HK,13/03/2018,19/03/2019,19/03/2020,17/03/2021,16/03/2022,15/03/2023,
1291,00763.HK,15/03/2018,27/03/2019,27/03/2020,16/03/2021,08/03/2022,15/03/2023,
1292,01299.HK,21/03/2018,11/04/2019,08/04/2020,15/03/2021,11/03/2022,10/03/2023,
1293,00914.HK,22/03/2018,21/03/2019,20/03/2020,25/03/2021,25/03/2022,27/03/2023,
1294,08070.HK,28/03/2018,28/03/2019,30/03/2020,31/03/2021,31/03/2022,30/03/2023,
1295,02318.HK,20/03/2018,12/03/2019,20/02/2020,03/02/2021,17/03/2022,15/03/2023,
1296,00998.HK,26/03/2018,29/04/2019,15/04/2020,29/04/2021,24/03/2022,23/03/2023,
1297,00725.HK,27/03/2018,01/04/2019,31/03/2020,30/03/2021,27/04/2022,20/04/2023,
1298,01560.HK,12/03/2018,12/03/2019,26/03/2020,19/04/2021,22/04/2022,24/04/2023,
1299,00010.HK,20/06/2018,20/06/2019,28/05/2020,13/05/2021,17/05/2022,04/04/2023,
1300,01097.HK,19/04/2018,25/04/2019,23/04/2020,26/04/2021,26/04/2022,27/04/2023,
1301,01107.HK,10/07/2018,04/07/2019,09/07/2020,30/06/2021,28/04/2023,07/11/2023,
1302,00954.HK,27/03/2018,21/03/2019,09/04/2020,19/04/2021,21/04/2022,13/04/2023,
1303,00864.HK,15/02/2018,11/03/2019,06/03/2020,26/04/2021,26/04/2022,27/04/2023,
1304,00388.HK,19/03/2018,19/03/2019,16/03/2020,15/03/2021,14/03/2022,13/03/2023,
1305,01088.HK,25/03/2018,24/03/2019,29/03/2020,28/03/2021,27/03/2022,27/03/2023,
1306,02386.HK,19/03/2018,11/03/2019,22/03/2020,12/04/2021,27/04/2022,19/03/2023,
1307,00548.HK,23/03/2018,22/03/2019,18/03/2020,24/03/2021,29/03/2022,24/03/2023,
1308,03918.HK,15/03/2018,21/03/2019,20/03/2020,19/04/2021,18/03/2022,23/03/2023,
1309,00338.HK,20/03/2018,20/03/2019,26/03/2020,25/03/2021,23/03/2022,22/03/2023,
1310,00991.HK,29/03/2018,28/03/2019,30/03/2020,26/03/2021,29/03/2022,28/03/2023,
1311,00874.HK,15/03/2018,17/03/2019,31/03/2020,18/03/2021,21/03/2022,17/03/2023,
1312,02799.HK,20/03/2018,26/06/2019,10/05/2020,17/11/2021,20/05/2022,26/04/2023,
1313,00002.HK,12/03/2018,11/03/2019,17/03/2020,10/03/2021,11/03/2022,10/03/2023,
1314,02343.HK,13/03/2018,12/03/2019,10/03/2020,11/03/2021,11/03/2022,14/03/2023,
1315,08368.HK,28/02/2018,29/03/2019,24/03/2020,31/03/2021,31/03/2022,30/03/2023,
1316,01970.HK,28/02/2018,31/03/2019,23/03/2020,30/03/2021,18/03/2022,17/03/2023,
1317,00008.HK,28/03/2018,01/04/2019,01/04/2020,31/03/2021,31/03/2022,31/03/2023,
1318,06823.HK,28/03/2018,01/04/2019,01/04/2020,31/03/2021,31/03/2022,31/03/2023,
1319,01161.HK,08/01/2018,07/01/2019,06/01/2020,11/03/2021,13/01/2022,06/01/2023,
1320,02863.HK,12/01/2018,31/12/2018,30/12/2019,05/01/2021,30/12/2021,13/01/2023,
1321,08475.HK,30/12/2018,29/11/2019,26/11/2020,26/11/2021,20/01/2023,,
1322,00839.HK,26/04/2018,19/12/2019,21/12/2020,28/12/2021,22/12/2022,19/12/2023,
1323,08168.HK,,24/12/2018,30/12/2019,24/12/2020,31/12/2021,29/12/2022,29/12/2023
1324,01969.HK,,19/12/2018,26/08/2020,24/12/2020,29/12/2021,28/12/2022,28/12/2023
1325,02033.HK,05/01/2018,17/12/2018,07/01/2020,14/01/2021,26/11/2021,30/11/2022,26/10/2023
1326,01758.HK,,17/12/2018,18/12/2019,18/12/2020,30/11/2022,05/01/2023,22/12/2023
1327,08140.HK,,14/12/2018,30/12/2019,,,,22/09/2023
1328,02369.HK,10/12/2018,17/04/2019,24/04/2020,29/04/2021,28/04/2022,27/04/2023,
1329,01775.HK,,09/11/2018,30/10/2019,29/10/2020,05/11/2021,03/11/2022,16/11/2023
1330,00193.HK,,01/11/2018,01/11/2019,03/11/2020,03/11/2021,29/11/2022,29/11/2023
1331,00383.HK,31/10/2018,28/04/2020,,29/04/2021,28/04/2022,27/04/2023,
1332,01975.HK,30/10/2018,29/10/2019,28/10/2020,28/10/2021,27/10/2022,27/10/2023,
1333,00399.HK,29/10/2018,28/10/2019,28/10/2020,28/10/2021,31/08/2022,28/07/2023,
1334,01082.HK,,29/10/2018,24/10/2019,27/10/2020,27/10/2021,27/10/2022,20/10/2023
1335,01752.HK,,25/10/2018,28/10/2019,22/10/2020,25/10/2021,25/10/2022,26/10/2023
1336,01013.HK,,23/10/2018,25/07/2019,17/07/2020,19/07/2021,27/07/2022,28/07/2023
1337,03708.HK,,23/10/2018,23/10/2019,18/12/2020,26/04/2023,26/04/2023,30/10/2023
1338,02689.HK,23/10/2018,29/10/2019,,,,25/10/2023,
1339,01341.HK,19/10/2018,08/10/2019,23/10/2020,21/09/2021,30/08/2022,26/07/2023,
1340,01726.HK,,19/10/2018,23/10/2019,22/10/2020,11/10/2021,28/10/2022,26/10/2023
1341,01757.HK,19/10/2018,27/09/2019,28/09/2020,16/09/2021,15/07/2022,,
1342,02113.HK,,15/10/2018,,07/08/2020,16/09/2021,26/08/2022,14/07/2023
1343,00491.HK,11/10/2018,17/10/2019,19/10/2020,18/10/2021,17/10/2022,19/10/2023,
1344,01023.HK,,10/10/2018,10/10/2019,14/10/2020,21/10/2021,20/10/2022,19/10/2023
1345,01709.HK,10/10/2018,14/10/2019,30/09/2020,11/10/2021,31/08/2022,27/07/2023,
1346,01621.HK,,05/10/2018,02/09/2020,06/09/2021,,,
1347,01716.HK,,02/10/2018,02/10/2019,08/10/2020,18/10/2021,27/07/2022,27/07/2023
1348,08448.HK,,28/09/2018,,,30/06/2021,30/06/2022,29/06/2023
1349,08510.HK,28/09/2018,27/09/2019,04/10/2020,30/06/2021,31/05/2022,31/03/2023,
1350,01470.HK,,28/09/2018,20/09/2019,24/09/2020,29/09/2021,28/09/2022,28/08/2023
1351,08201.HK,,28/09/2018,26/09/2019,28/09/2020,28/09/2021,28/09/2022,28/09/2023
1352,08020.HK,28/09/2018,18/09/2019,21/09/2020,30/09/2021,30/09/2022,30/06/2023,
1353,08447.HK,,28/09/2018,30/08/2019,23/09/2020,31/08/2021,31/08/2022,28/06/2023
1354,08156.HK,,27/09/2018,27/09/2019,29/09/2020,29/09/2021,30/09/2022,29/09/2023
1355,08422.HK,27/09/2018,27/09/2019,29/09/2020,28/12/2021,25/11/2022,29/09/2023,
1356,08047.HK,26/09/2018,29/09/2019,04/10/2020,30/09/2021,,,
1357,08367.HK,,26/09/2018,06/09/2019,29/09/2020,20/09/2021,31/08/2022,30/06/2023
1358,08545.HK,,24/09/2018,19/09/2019,14/09/2020,23/09/2021,29/06/2022,30/06/2023
1359,08423.HK,,24/09/2018,25/06/2019,29/06/2020,25/06/2021,30/06/2022,30/06/2023
1360,08501.HK,,21/09/2018,17/09/2019,07/09/2020,,,29/06/2023
1361,01686.HK,20/09/2018,25/09/2019,24/09/2020,24/09/2021,23/09/2022,22/09/2023,
1362,08511.HK,,14/09/2018,19/09/2019,28/08/2020,23/06/2021,12/07/2022,30/06/2023
1363,01116.HK,11/09/2018,23/07/2019,25/05/2020,04/06/2021,,28/11/2022,30/10/2023
1364,00042.HK,,26/06/2019,29/04/2020,29/03/2021,30/03/2022,,
1365,08507.HK,,06/09/2018,13/09/2019,04/09/2020,13/08/2021,12/08/2022,02/07/2023
1366,00151.HK,04/09/2018,,15/07/2020,06/07/2021,31/08/2022,20/07/2023,
1367,08412.HK,,30/08/2018,30/08/2019,31/08/2020,31/08/2021,02/09/2022,01/09/2023
1368,00243.HK,,30/08/2018,17/09/2019,23/11/2020,12/11/2021,16/09/2022,28/08/2023
1369,08391.HK,,20/08/2018,26/09/2019,29/06/2021,31/05/2022,31/03/2023,
1370,03830.HK,,17/08/2018,16/08/2019,20/08/2020,20/08/2021,19/08/2022,23/08/2023
1371,01399.HK,09/08/2018,26/04/2019,02/06/2020,04/06/2021,27/05/2022,26/04/2023,
1372,02663.HK,,08/08/2018,17/07/2019,23/07/2020,20/07/2021,26/07/2022,21/07/2023
1373,01094.HK,31/07/2018,29/04/2019,30/09/2020,27/07/2021,08/07/2022,27/07/2023,
1374,00807.HK,31/07/2018,31/05/2019,29/05/2020,31/05/2021,31/05/2022,05/04/2023,
1375,00596.HK,31/07/2018,28/07/2019,20/07/2020,02/08/2021,30/05/2022,28/04/2023,
1376,01009.HK,31/07/2018,18/10/2019,23/10/2020,22/10/2021,24/10/2022,30/10/2023,
1377,00381.HK,30/07/2018,,,29/07/2021,31/05/2022,,
1378,01858.HK,30/07/2018,29/04/2019,,,31/05/2022,27/04/2023,
1379,08118.HK,,30/07/2018,29/07/2019,29/07/2020,29/07/2021,28/07/2022,31/07/2023
1380,02683.HK,,08/07/2019,08/07/2020,07/07/2021,06/07/2022,05/07/2023,
1381,03933.HK,30/07/2018,30/07/2019,06/08/2020,30/07/2021,31/05/2022,28/04/2023,
1382,01539.HK,30/07/2018,30/07/2019,02/08/2020,29/07/2021,31/08/2022,27/07/2023,
1383,01004.HK,,29/04/2019,20/04/2020,09/07/2021,02/11/2022,28/04/2023,
1384,00677.HK,,27/07/2018,26/07/2019,27/07/2020,27/07/2021,25/07/2022,24/07/2023
1385,01697.HK,26/07/2018,23/07/2019,24/06/2020,24/06/2021,31/05/2022,20/04/2023,
1386,02139.HK,26/07/2018,17/07/2019,22/05/2020,24/05/2021,19/04/2022,19/04/2023,
1387,02779.HK,26/07/2018,29/04/2019,27/04/2020,28/04/2021,26/04/2022,28/04/2023,
1388,03878.HK,,26/07/2018,25/07/2019,24/07/2020,26/07/2021,26/07/2022,26/07/2023
1389,01327.HK,26/07/2018,23/07/2019,24/07/2020,21/07/2021,04/05/2022,27/04/2023,
1390,01933.HK,,26/07/2018,25/07/2019,24/07/2020,27/08/2021,29/07/2022,20/07/2023
1391,02377.HK,26/07/2018,25/07/2019,12/05/2020,26/04/2021,26/04/2022,26/04/2023,
1392,01815.HK,25/07/2018,26/07/2019,12/08/2020,28/07/2021,31/05/2022,28/04/2023,
1393,01665.HK,25/07/2018,19/07/2019,11/06/2020,03/06/2021,26/05/2022,27/04/2023,
1394,01216.HK,25/07/2018,23/07/2019,02/07/2020,19/07/2021,31/05/2022,21/04/2023,
1395,02022.HK,25/07/2018,,23/04/2020,30/04/2021,27/04/2022,26/04/2023,
1396,00603.HK,25/07/2018,24/07/2019,20/07/2020,08/07/2021,26/05/2022,27/04/2023,
1397,03997.HK,25/07/2018,25/07/2019,30/07/2020,05/07/2021,22/07/2022,24/07/2023,
1398,06829.HK,25/07/2018,17/07/2019,14/07/2020,13/07/2021,12/07/2022,11/07/2023,
1399,01475.HK,,18/07/2019,21/07/2020,22/07/2021,19/05/2022,25/04/2023,
1400,06038.HK,24/07/2018,26/04/2019,24/04/2020,27/04/2021,30/05/2022,26/04/2023,
1401,01637.HK,24/07/2018,25/07/2019,23/07/2020,22/07/2021,22/07/2022,24/07/2023,
1402,03323.HK,24/07/2018,24/06/2019,29/06/2020,30/06/2021,30/05/2022,04/04/2023,
1403,00278.HK,,24/07/2018,25/07/2019,27/07/2020,28/07/2021,28/07/2022,26/07/2023
1404,00305.HK,24/07/2018,22/07/2019,14/08/2020,16/07/2021,20/05/2022,21/04/2023,
1405,02329.HK,23/07/2018,19/07/2019,12/08/2020,28/07/2021,31/05/2022,28/04/2023,
1406,01727.HK,23/07/2018,,,,,26/04/2023,
