file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
1600.HK,25,24,72,24,13,19,24,4,0,0,0,0,0,18,30,4,25,23,13,64,62,49,01600.pdf,100
0257.HK,48,63,39,91,39,31,83,20,11,0,0,4,11,49,58,20,49,59,39,63,32,34,00257.pdf,100
8328.HK,8,15,69,19,10,17,17,1,3,0,0,0,3,8,12,1,18,11,10,55,28,41,08328.pdf,100
1461.HK,16,12,82,17,8,6,8,0,0,33,33,4,0,11,9,0,20,15,8,75,59,35,01461.pdf,100
8159.HK,8,17,66,22,7,3,10,2,1,0,0,4,1,6,15,2,14,12,7,56,24,39,08159.pdf,100
8128.HK,10,13,74,13,5,13,13,3,1,0,0,4,1,13,12,3,17,12,5,56,49,52,08128.pdf,100
0039.HK,6,12,72,12,3,6,9,3,0,0,0,0,0,5,6,3,9,8,3,50,32,50,00039.pdf,100
3331.HK,19,25,65,30,12,17,22,9,3,0,0,4,3,24,25,9,26,29,12,60,39,42,03331.pdf,100
1918.HK,32,27,75,37,15,24,16,4,9,0,0,4,9,14,22,4,32,37,15,71,52,36,01918.pdf,100
0486.HK,46,67,30,81,43,31,68,35,33,0,0,4,33,39,50,35,62,63,43,59,35,41,00486.pdf,100
1927.HK,6,11,73,9,5,5,8,2,1,0,0,0,1,9,9,2,15,9,5,44,43,62,01927.pdf,100
9928.HK,25,28,67,42,13,12,17,2,9,0,0,0,9,11,22,2,44,34,13,66,37,33,09928.pdf,100
2236.HK,27,26,72,35,15,25,23,6,1,33,33,4,1,14,28,6,38,30,15,68,47,37,02236.pdf,100
8203.HK,4,9,74,7,4,3,4,1,3,0,0,0,3,5,6,1,8,6,4,40,37,64,08203.pdf,100
6900.HK,26,24,73,30,13,19,14,4,16,0,0,4,16,13,14,4,27,28,13,68,54,41,06900.pdf,100
1238.HK,19,27,63,29,15,13,16,7,19,0,0,14,19,19,20,7,27,26,15,57,40,46,01238.pdf,100
1257.HK,41,57,40,60,38,34,66,25,1,0,0,4,1,34,54,25,40,45,38,57,42,47,01257.pdf,100
8232.HK,2,5,79,4,5,3,5,0,3,0,0,0,3,4,5,0,5,3,5,46,36,57,08232.pdf,100
9966.HK,15,18,72,21,7,13,14,0,0,0,0,0,0,11,13,0,17,15,7,62,46,43,09966.pdf,100
