stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
00035.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00997.HK,NA,NA,NA,NA,NA,31/08/2022,NA
00841.HK,NA,NA,NA,NA,NA,31/08/2022,NA
08320.HK,NA,NA,NA,NA,30/08/2022,NA,NA
01865.HK,NA,NA,NA,NA,NA,30/08/2022,NA
00558.HK,NA,NA,NA,NA,30/08/2022,NA,NA
08395.HK,NA,NA,NA,NA,NA,30/08/2022,NA
00474.HK,NA,NA,NA,NA,30/08/2022,NA,NA
03789.HK,NA,NA,NA,NA,NA,30/08/2022,NA
01142.HK,NA,NA,NA,NA,NA,30/08/2022,NA
01315.HK,NA,NA,NA,NA,NA,30/08/2022,NA
00216.HK,NA,NA,NA,NA,30/08/2022,NA,NA
00160.HK,NA,NA,NA,NA,30/08/2022,NA,NA
00932.HK,NA,NA,NA,NA,30/08/2022,NA,NA
00475.HK,NA,NA,NA,NA,30/08/2022,NA,NA
01633.HK,NA,NA,NA,NA,NA,30/08/2022,NA
00259.HK,NA,NA,NA,NA,30/08/2022,NA,NA
01341.HK,NA,NA,NA,NA,30/08/2022,NA,NA
01496.HK,NA,NA,NA,NA,NA,30/08/2022,NA
00321.HK,NA,NA,NA,NA,NA,30/08/2022,NA
06812.HK,NA,NA,NA,NA,NA,30/08/2022,NA
01373.HK,NA,NA,NA,NA,NA,30/08/2022,NA
01559.HK,NA,NA,NA,NA,NA,30/08/2022,NA
01884.HK,NA,NA,NA,NA,30/08/2022,NA,NA
00130.HK,NA,NA,NA,NA,NA,30/08/2022,NA
08017.HK,NA,NA,NA,NA,30/08/2022,NA,NA
01245.HK,NA,NA,NA,NA,NA,30/08/2022,NA
08371.HK,NA,NA,NA,NA,NA,30/08/2022,NA
08319.HK,NA,NA,NA,NA,NA,30/08/2022,NA
02368.HK,NA,NA,NA,NA,NA,30/08/2022,NA
01472.HK,NA,NA,NA,NA,NA,29/08/2022,NA
08193.HK,NA,NA,NA,NA,NA,29/08/2022,NA
00294.HK,NA,NA,NA,NA,29/08/2022,NA,NA
00306.HK,NA,NA,NA,NA,29/08/2022,NA,NA
08325.HK,NA,NA,NA,NA,NA,29/08/2022,NA
06808.HK,NA,NA,NA,NA,29/08/2022,NA,NA
08245.HK,NA,NA,NA,NA,NA,29/08/2022,NA
03683.HK,NA,NA,NA,NA,NA,29/08/2022,NA
08277.HK,NA,NA,NA,NA,NA,29/08/2022,NA
01222.HK,NA,NA,NA,NA,NA,29/08/2022,NA
08111.HK,NA,NA,NA,NA,NA,29/08/2022,NA
01271.HK,NA,NA,NA,NA,29/08/2022,NA,NA
00727.HK,NA,NA,NA,NA,29/08/2022,NA,NA
00149.HK,NA,NA,NA,NA,NA,29/08/2022,NA
05755.HK,NA,NA,NA,NA,NA,29/08/2022,NA
00897.HK,NA,NA,NA,NA,NA,29/08/2022,NA
08268.HK,NA,NA,NA,NA,NA,26/08/2022,NA
00899.HK,NA,NA,NA,NA,NA,26/08/2022,NA
08023.HK,NA,NA,NA,NA,NA,26/08/2022,NA
08316.HK,NA,NA,NA,NA,NA,26/08/2022,NA
01841.HK,NA,NA,NA,NA,26/08/2022,NA,NA
00353.HK,NA,NA,NA,NA,26/08/2022,NA,NA
08195.HK,NA,NA,NA,NA,NA,26/08/2022,NA
00332.HK,NA,NA,NA,NA,26/08/2022,NA,NA
00179.HK,NA,NA,NA,NA,NA,26/08/2022,NA
08065.HK,NA,NA,NA,NA,26/08/2022,NA,NA
00855.HK,NA,NA,NA,NA,NA,26/08/2022,NA
01843.HK,NA,NA,NA,NA,NA,26/08/2022,NA
00992.HK,NA,NA,NA,NA,26/08/2022,NA,NA
00896.HK,NA,NA,NA,NA,26/08/2022,NA,NA
00125.HK,NA,NA,NA,NA,26/08/2022,NA,NA
